gene	lnL	t	S	N	dN/dS	dN	dS	NG.dNdS	NG.dN	NG.dS
AT4G02130	-1479.247932	0.0366	287.8	750.2	0.0724	0.0027	0.037	0.0625	0.0025	0.0408
AT4G02140	-450.920641	0.0373	74.4	258.6	0.094	0.0039	0.0419	0.1195	0.0041	0.0344
AT4G02150	-2305.857153	0.0561	371.8	1230.2	0.0942	0.0058	0.0614	0.11	0.0062	0.056
AT4G02160	-778.040079	0.0985	102.5	425.5	0.2107	0.019	0.0902	0.27	0.0196	0.0727
AT4G02170	-746.739135	0.0683	127.5	385.5	0.1723	0.0104	0.0602	0.151	0.01	0.0662
AT4G02195	-1096.259409	0.1546	166.5	544.5	0.1203	0.019	0.158	0.1363	0.0203	0.1492
AT4G02200	-789.504045	0.0329	117.5	452.5	0.1202	0.0044	0.0364	0.1392	0.0045	0.0325
AT4G02220	-1380.553063	0.0345	251.6	738.4	0.3826	0.0082	0.0213	0.3272	0.0078	0.0237
AT4G02260	-3715.82281	0.0317	709.4	1936.6	0.1798	0.0048	0.0265	0.1597	0.0047	0.0293
AT4G02270	-692.775794	0.0252	131.8	363.2	0.3411	0.0055	0.0163	0.316	0.0053	0.0169
AT4G02290	-1984.151336	0.0555	366.3	1016.7	0.1364	0.0069	0.0507	0.1242	0.0067	0.0537
AT4G02300	-2320.010536	0.0632	398.2	1194.8	0.3471	0.0143	0.0413	0.3285	0.014	0.0425
AT4G02340	-1403.614917	0.0491	263.5	708.5	0.1258	0.0057	0.0451	0.1109	0.0054	0.0489
AT4G02350	-2599.628457	0.0289	427.7	1444.3	0.0845	0.0028	0.0328	0.0888	0.0028	0.0312
AT4G02360	-655.071213	0.0476	109	356	0.115	0.0057	0.0492	0.1189	0.0056	0.0474
AT4G02370	-568.892492	0.0651	74	319	0.1272	0.0095	0.0744	0.1711	0.0099	0.0581
AT4G02390	-2217.849865	0.056	346.9	1216.1	0.0743	0.005	0.0667	0.0778	0.0049	0.0635
AT4G02405	-1123.41271	0.0969	174.9	578.1	0.1762	0.0155	0.0879	0.1872	0.0155	0.0827
AT4G02425	-1161.452477	0.0938	201.8	575.2	0.1743	0.014	0.0804	0.1627	0.0137	0.0843
AT4G02440	-1393.883369	0.0761	198.1	743.9	0.1336	0.0107	0.0803	0.1749	0.0113	0.0644
AT4G02450	-1069.447755	0.1447	193.2	538.8	0.1126	0.0157	0.1391	0.127	0.0176	0.1387
AT4G02460	-4259.699891	0.1248	716.5	2046.5	0.353	0.0282	0.0799	0.3208	0.0273	0.085
AT4G02480	-4531.065941	0.0395	761.9	2439.1	0.1606	0.0059	0.0366	0.1958	0.0064	0.0327
AT4G02485	-499.871254	0.0532	98.8	249.2	0.3877	0.0122	0.0316	0.3024	0.0114	0.0376
AT4G02500	-1958.835468	0.0411	381.8	1007.2	0.045	0.002	0.0445	0.0342	0.0019	0.0541
AT4G02510	-5126.100498	0.0556	1038.9	2555.1	0.2585	0.0101	0.0392	0.202	0.0094	0.0464
AT4G02520	-873.963284	0.0248	168	468	0.2219	0.0043	0.0193	0.1983	0.0041	0.0207
AT4G02560	-4025.586033	0.0397	730.6	2128.4	0.2069	0.0067	0.0323	0.1884	0.0064	0.034
AT4G02580	-1114.416697	0.0774	210.4	554.6	0.0203	0.0018	0.089	0.0177	0.0017	0.0976
AT4G02600	-2223.928512	0.0323	369.8	1208.2	0.1762	0.0051	0.0292	0.2036	0.0054	0.0264
AT4G02610	-1191.847401	0.0649	224.3	603.7	0.2455	0.0118	0.0481	0.2356	0.0115	0.0486
AT4G02620	-363.723517	0.106	70.8	175.2	0.138	0.0126	0.0915	0.223	0.0187	0.0839
AT4G02640	-1411.504115	0.102	222.2	713.8	0.3218	0.0227	0.0704	0.3407	0.0227	0.0666
AT4G02650	-2302.469059	0.0463	419	1213	0.1927	0.0074	0.0386	0.1714	0.0072	0.0418
AT4G02660	-14141.39081	0.0385	2449	7526	0.3286	0.0085	0.026	0.3232	0.0084	0.026
AT4G02670	-1761.784817	0.0483	285.6	929.4	0.399	0.0119	0.0298	0.4147	0.0119	0.0287
AT4G02680	-3760.102134	0.0384	663.2	2000.8	0.0572	0.0025	0.0438	0.0558	0.0025	0.0441
AT4G02700	-2746.349711	0.0657	539.8	1350.2	0.0962	0.0059	0.0618	0.0809	0.0056	0.0692
AT4G02710	-4837.327775	0.0738	767.7	2592.3	0.2479	0.0145	0.0586	0.2325	0.0142	0.0611
AT4G02715	-584.721587	0.0789	96.9	305.1	0.2844	0.0164	0.0575	0.3394	0.0169	0.0499
AT4G02720	-1509.731668	0.1062	212.8	825.2	0.201	0.0195	0.097	0.2112	0.0196	0.0928
AT4G02725	-702.62883	0.0319	105	390	0.1651	0.0051	0.031	0.2036	0.0053	0.0261
AT4G02750	-3391.534043	0.0721	504.6	1820.4	0.1554	0.011	0.071	0.1749	0.0112	0.0643
AT4G02760	-2071.943372	0.2015	327.8	926.2	0.5567	0.0556	0.0998	0.5434	0.0548	0.1008
AT4G02770	-867.023164	0.0257	158.3	459.7	0.08	0.0022	0.0272	0.0805	0.0022	0.0267
AT4G02780	-3246.158869	0.061	516	1710	0.2604	0.0123	0.0471	0.2653	0.0122	0.046
AT4G02790	-1559.570613	0.0313	265.9	847.1	0.1776	0.0049	0.0279	0.2168	0.0053	0.0247
AT4G02800	-1452.115136	0.085	234	765	0.2677	0.0173	0.0645	0.2545	0.0169	0.0664
AT4G02810	-1157.806272	0.0926	176.7	603.3	0.3652	0.0221	0.0606	0.3709	0.0223	0.06
AT4G02820	-2062.827757	0.0998	313.2	1084.8	0.1429	0.0142	0.0994	0.1412	0.014	0.0988
AT4G02830	-758.75193	0.0291	131.2	411.8	0.0744	0.0024	0.0326	0.071	0.0024	0.0335
AT4G02840	-497.774073	0.0622	80.4	267.6	0.1182	0.0076	0.0645	0.129	0.0077	0.0597
AT4G02860	-1222.858272	0.0213	195.9	692.1	0.2545	0.0043	0.0169	0.3034	0.0044	0.0146
AT4G02870	-1506.001665	0.0225	283.2	796.8	1.0749	0.0077	0.0071	0.8754	0.0072	0.0082
AT4G02920	-1723.939682	0.0146	381.7	866.3	0.4427	0.0035	0.0079	0.2988	0.0031	0.0105
AT4G02930	-1935.611994	0.4704	300.5	866.5	0.0292	0.0164	0.5616	0.0368	0.019	0.5157
AT4G02940	-1811.886702	0.1098	291	894	0.2237	0.0198	0.0883	0.3019	0.0226	0.075
AT4G02980	-854.361199	0.0476	156.6	437.4	0.2655	0.0092	0.0346	0.246	0.0089	0.0362
AT4G03000	-3506.138392	0.069	548	1858	0.2308	0.0131	0.0567	0.2381	0.013	0.0547
AT4G03010	-1799.794878	0.1011	358.4	826.6	0.195	0.015	0.0768	0.149	0.0137	0.0919
AT4G03030	-1908.359389	0.0606	327.8	986.2	0.1459	0.0082	0.0563	0.1506	0.0082	0.0548
AT4G03080	-3766.082184	0.0527	705.7	1934.3	0.0349	0.0021	0.0599	0.0321	0.002	0.0626
AT4G03090	-3768.750104	0.0466	613.8	2023.2	0.1612	0.007	0.0436	0.1746	0.0072	0.0412
AT4G03100	-1515.421643	0.065	258.4	791.6	0.1445	0.0088	0.0611	0.1387	0.0086	0.0622
AT4G03110	-1857.996625	0.0286	309.6	1019.4	0.1406	0.0039	0.0279	0.1527	0.004	0.0259
AT4G03115	-1410.623148	0.1098	249.9	668.1	0.5318	0.0295	0.0555	0.5441	0.0294	0.0541
AT4G03120	-831.193367	0.0725	156.9	425.1	0.1013	0.0071	0.0704	0.0879	0.0068	0.077
AT4G03130	-3520.609544	0.1291	485	1780	0.6649	0.0388	0.0584	0.7786	0.0397	0.051
AT4G03140	-1333.080434	0.0883	258.9	641.1	0.2162	0.0144	0.0667	0.1726	0.0133	0.0772
AT4G03150	-804.626295	0.1286	152.5	369.5	0.4199	0.0305	0.0728	0.3249	0.0281	0.0864
AT4G03180	-751.858628	0.0606	165.7	386.3	1.1801	0.0212	0.0179	0.6385	0.0182	0.0285
AT4G03190	-2575.835501	0.0749	494.7	1260.3	0.0756	0.0056	0.0742	0.0633	0.0053	0.0837
AT4G03200	-3622.255014	0.0896	626.5	1809.5	0.1414	0.0117	0.0825	0.1284	0.0113	0.0876
AT4G03210	-1222.143075	0.093	174.8	662.2	0.0635	0.0076	0.1197	0.0717	0.0077	0.1068
AT4G03220	-2178.581947	0.0595	385.9	1120.1	0.3609	0.0136	0.0378	0.3083	0.013	0.0421
AT4G03230	-3550.215431	0.1443	494.7	1776.3	0.2278	0.0277	0.1215	0.328	0.0313	0.0954
AT4G03240	-800.290817	0.0518	122.8	435.2	0.0742	0.0046	0.0621	0.0844	0.0047	0.0556
AT4G03250	-1998.330323	0.0559	315.4	1079.6	0.2999	0.0122	0.0406	0.3039	0.0121	0.0397
AT4G03260	-2971.057545	0.1004	481	1481	0.4154	0.0249	0.0599	0.4112	0.0245	0.0597
AT4G03270	-1285.865957	0.0455	237.3	662.7	0.2761	0.009	0.0325	0.2378	0.0086	0.0362
AT4G03280	-984.255174	0.0568	182.5	504.5	0.0303	0.002	0.0658	0.0294	0.0019	0.0663
AT4G03290	-628.832939	0.0517	100.4	361.6	0.0389	0.0027	0.0696	0.0413	0.0027	0.066
AT4G03292	-839.446868	2.0612	91.1	280.9	0.1449	0.2809	1.9387	0.0976	0.2697	2.7635
AT4G03298	-908.489376	0.053	187.5	448.5	0.7264	0.0159	0.0219	0.5257	0.0145	0.0275
AT4G03320	-1291.418584	0.1247	230.2	606.8	0.1523	0.0164	0.1078	0.1355	0.0157	0.1162
AT4G03330	-1303.934764	0.0638	259.4	655.6	0.0456	0.0031	0.0672	0.0349	0.0028	0.0813
AT4G03340	-1968.631021	0.065	319.5	1027.5	0.2932	0.0138	0.047	0.2927	0.0136	0.0466
AT4G03400	-2616.496646	0.0735	453.5	1319.5	0.1341	0.0092	0.069	0.1243	0.0089	0.0719
AT4G03410	-1439.900308	0.1271	239.4	696.6	0.192	0.0204	0.1062	0.1827	0.0198	0.1082
AT4G03415	-2099.874576	0.0984	367.1	1036.9	0.1581	0.0137	0.0867	0.1379	0.0131	0.0949
AT4G03420	-1316.90504	0.0348	216.4	725.6	0.001	0.0001	0.0504	-1	0	0.0486
AT4G03430	-4122.963612	0.0217	749.3	2262.7	0.0339	0.0009	0.0263	0.0311	0.0009	0.0278
AT4G03510	-1083.71305	0.0639	173.6	564.4	0.3197	0.0142	0.0444	0.3394	0.0143	0.042
AT4G03520	-668.427478	0.0631	124.5	334.5	0.0434	0.003	0.0695	0.0389	0.0029	0.0744
AT4G03550	-5481.3903	0.0172	1039.4	2914.6	0.3433	0.0038	0.0111	0.2916	0.0036	0.0124
AT4G03560	-3139.849853	0.0442	551.9	1644.1	0.2932	0.0092	0.0313	0.2781	0.0089	0.0322
AT4G03565	-904.503874	0.514	116.5	366.5	0.7402	0.1579	0.2134	0.633	0.1438	0.2272
AT4G03610	-1345.124344	0.1491	214.1	646.9	0.1512	0.0207	0.1371	0.1612	0.0214	0.133
AT4G03620	-1300.109765	0.054	200.1	723.9	0.1198	0.007	0.058	0.1245	0.007	0.056
AT4G03820	-1979.1898	0.1162	380.1	930.9	0.1285	0.0131	0.1016	0.1021	0.0121	0.1184
AT4G03960	-872.523017	0.0702	150.8	443.2	0.1373	0.009	0.0656	0.1243	0.0087	0.0704
AT4G03965	-900.996911	0.0788	163.2	442.8	0.1724	0.0115	0.0665	0.1615	0.0111	0.0687
AT4G04020	-1079.672729	0.1188	207.9	500.1	0.0936	0.0103	0.1101	0.0737	0.0095	0.1287
AT4G04040	-2429.983105	0.0494	422.8	1284.2	0.4506	0.0126	0.028	0.4271	0.0123	0.0287
AT4G04180	-2435.011503	0.0643	432.1	1259.9	0.1741	0.0097	0.0557	0.182	0.0098	0.054
AT4G04190	-813.797497	0.0819	132.3	419.7	0.1561	0.0119	0.0762	0.1535	0.0118	0.0766
AT4G04200	-872.262943	0.1413	136.2	433.8	0.2851	0.0294	0.1033	0.2852	0.029	0.1018
AT4G04220	-4032.613386	0.2986	512.7	1794.3	0.6072	0.087	0.1433	0.6825	0.0882	0.1292
AT4G04330	-487.934419	0.046	63.3	278.7	0.3024	0.0107	0.0355	0.4394	0.0115	0.0261
AT4G04350	-3682.615456	0.0651	625.8	1927.2	0.1116	0.0074	0.0659	0.1065	0.0072	0.0673
AT4G04360	-397.23565	0	54.3	257.7	0.001	0	0	-1	0	0
AT4G04370	-2765.406218	0.0852	441.2	1424.8	0.3741	0.0204	0.0544	0.4101	0.0207	0.0504
AT4G04470	-568.865409	0.0302	95.2	309.8	0.8759	0.0097	0.0111	0.9554	0.0098	0.0103
AT4G04480	-1548.812782	0.088	276.3	773.7	0.177	0.0132	0.0745	0.1546	0.0126	0.0812
AT4G04620	-520.496543	0.0832	104.6	255.4	0.0461	0.004	0.0858	0.0349	0.0036	0.1035
AT4G04630	-706.449789	0.0512	95	406	0.3207	0.0122	0.038	0.4832	0.013	0.0269
AT4G04640	-1585.186974	0.034	288.9	842.1	0.0292	0.0012	0.0409	0.0297	0.0012	0.0398
AT4G04670	-3791.787185	0.0897	564.5	2003.5	0.1	0.01	0.1004	0.1129	0.0102	0.0901
AT4G04745	-555.331943	0.1236	83.2	279.8	0.1541	0.0183	0.1184	0.1564	0.0181	0.1159
AT4G04750	-2310.926147	0.1989	408.3	1031.7	0.348	0.0433	0.1244	0.3221	0.0416	0.129
AT4G04770	-2430.065971	0.0957	368	1300	0.0296	0.0039	0.1309	0.0328	0.0039	0.1189
AT4G04780	-588.558374	0.086	86.4	330.6	0.088	0.0091	0.1035	0.1117	0.0095	0.0851
AT4G04790	-3516.880206	0.0533	541.5	1921.5	0.3462	0.0126	0.0363	0.3785	0.0127	0.0334
AT4G04830	-599.801784	0.0553	118.5	301.5	0.001	0.0001	0.0652	-1	0	0.0723
AT4G04840	-612.839982	0.0612	98.5	324.5	0.1623	0.0093	0.0571	0.1741	0.0093	0.0532
AT4G04850	-3285.560606	0.0798	613.2	1651.8	0.0742	0.0061	0.0819	0.0715	0.0059	0.0825
AT4G04860	-1021.138019	0.0322	197.5	534.5	0.001	0	0.0396	-1	0	0.0416
AT4G04870	-1580.019726	0.1336	274.5	745.5	0.2092	0.0221	0.1055	0.1917	0.0212	0.1104
AT4G04880	-1532.189125	0.0635	251.8	813.2	0.2052	0.0111	0.0539	0.2203	0.0111	0.0503
AT4G04900	-629.146911	0.0354	110.6	354.4	0.001	0	0.0494	-1	0	0.0448
AT4G04910	-3062.558622	0.0405	607.6	1579.4	0.1	0.0039	0.0386	0.0821	0.0036	0.0438
AT4G04920	-5340.020891	0.083	915.8	2711.2	0.1211	0.0098	0.0807	0.1377	0.0104	0.0756
AT4G04930	-924.469781	0.6358	113.2	348.8	0.5082	0.1713	0.337	0.5666	0.1737	0.3066
AT4G04940	-3826.469199	0.0264	709.6	2023.4	0.1444	0.0035	0.024	0.1274	0.0033	0.0261
AT4G04950	-2126.632296	0.0707	369.3	1091.7	0.1599	0.0101	0.0633	0.1508	0.0098	0.0653
AT4G04955	-2197.298769	0.0679	370.1	1144.9	0.1771	0.0106	0.0598	0.1834	0.0105	0.0572
AT4G04970	-6950.528251	0.0407	1192.4	3709.6	0.1322	0.0052	0.0395	0.1292	0.0052	0.04
AT4G04980	-2671.748798	0.0415	470.4	1458.6	0.3277	0.0092	0.0281	0.298	0.009	0.0302
AT4G04990	-1387.401511	0.0842	279.6	653.4	0.1891	0.0123	0.0649	0.1446	0.0114	0.079
AT4G05010	-691.856528	0.0778	80.6	399.4	0.5453	0.0228	0.0417	0.9304	0.025	0.0269
AT4G05030	-299.544445	0.0951	66.2	146.8	0.001	0.0001	0.1018	-1	0	0.125
AT4G05090	-1716.041648	0.0709	294.1	884.9	0.1613	0.0103	0.0638	0.1609	0.0101	0.0628
AT4G05100	-1440.167477	0.0544	175.4	829.6	0.1703	0.0098	0.0576	0.2661	0.0108	0.0407
AT4G05160	-1912.765342	0.0666	328.3	1009.7	0.051	0.004	0.0782	0.0529	0.004	0.0747
AT4G05170	-1099.550011	0.1971	158.2	519.8	0.3492	0.0458	0.1311	0.3391	0.0451	0.133
AT4G05180	-991.600895	0.05	193.9	496.1	0.2151	0.0082	0.0382	0.1886	0.0078	0.0413
AT4G05190	-3459.129276	0.0934	558.4	1802.6	0.0504	0.0057	0.1132	0.0594	0.0066	0.1115
AT4G05210	-1517.450912	0.4183	198.6	632.4	0.4118	0.1039	0.2524	0.4532	0.105	0.2318
AT4G05220	-984.853629	0.0564	199.8	478.2	0.1295	0.0063	0.0487	0.0999	0.0058	0.0583
AT4G05230	-854.198049	0.0317	113.7	501.3	0.0407	0.002	0.0485	0.0518	0.0021	0.0398
AT4G05250	-975.835672	0.1568	121.1	493.9	1.8367	0.0574	0.0313	1.9287	0.0584	0.0303
AT4G05320	-2303.684932	2.2763	241	1130	0.001	0.0043	4.2957	0.0149	0.0251	1.6839
AT4G05370	-1003.258909	1.9315	102.9	329.1	0.2472	0.3731	1.5093	0.3247	0.3698	1.139
AT4G05390	-1300.055146	0.1176	215.4	645.6	0.1469	0.016	0.1088	0.1616	0.0174	0.1079
AT4G05420	-4499.95007	0.0204	791.6	2472.4	0.0152	0.0004	0.0268	0.0152	0.0004	0.0264
AT4G05430	-681.594424	0.147	123.7	305.3	0.3918	0.0338	0.0864	0.321	0.0318	0.099
AT4G05460	-1393.462385	0.6519	202.8	511.2	0.312	0.1336	0.4283	0.2639	0.127	0.4811
AT4G05490	-622.336794	0.1071	87.9	320.1	0.7717	0.0336	0.0435	0.9331	0.0345	0.037
AT4G05530	-939.77763	0.0451	177.3	494.7	0.0388	0.002	0.0514	0.0406	0.002	0.049
AT4G05540	-3850.807004	0.15	585.4	1856.6	0.3868	0.0362	0.0937	0.3899	0.036	0.0923
AT4G05590	-476.498976	0.1418	80	232	0.1314	0.0175	0.1335	0.1262	0.0169	0.1343
AT4G05630	-530.249894	0.0656	85.7	286.3	1.8841	0.0245	0.013	1.7912	0.024	0.0134
AT4G06536	-675.644755	0.006	172.8	325.2	0.001	0	0.0058	-1	0	0.0088
AT4G06598	-1365.332496	0.2627	165.6	635.4	0.3624	0.0642	0.1772	0.5353	0.0704	0.1315
AT4G06599	-1432.072689	0.0412	240.8	779.2	0.001	0.0001	0.0579	-1	0	0.0569
AT4G06634	-1364.849758	0.0444	202.7	787.3	0.1351	0.0064	0.0474	0.1381	0.0064	0.0461
AT4G06744	-1801.710032	0.0776	308.5	918.5	0.0784	0.0065	0.0834	0.0763	0.0064	0.0842
AT4G07390	-976.013479	0.0234	172.1	532.9	0.001	0	0.0319	-1	0	0.0298
AT4G07400	-2011.583246	0.0571	326.5	1068.5	0.2266	0.0106	0.0467	0.2364	0.0106	0.0447
AT4G07960	-2263.22788	0.0625	355.6	1228.4	0.009	0.0008	0.09	0.0097	0.0008	0.0838
AT4G08028	-309.073017	0.0262	34.5	202.5	99	0.0102	0.0001	-1	0.0109	0
AT4G08040	-2009.408346	0.0761	351	1029	0.032	0.0029	0.0911	0.0286	0.0028	0.0985
AT4G08150	-1134.768794	0.0734	186.5	599.5	0.1845	0.0119	0.0647	0.1768	0.0121	0.0684
AT4G08160	-3335.783656	0.0874	610.9	1642.1	0.1537	0.0117	0.076	0.1271	0.011	0.0866
AT4G08170	-1498.885319	0.0414	258	804	0.1673	0.0063	0.0374	0.1798	0.0063	0.035
AT4G08210	-3110.974076	0.1174	464.3	1593.7	0.2741	0.0245	0.0893	0.3018	0.0247	0.0817
AT4G08240	-521.851833	0.0694	98.3	258.7	0.5969	0.0195	0.0327	0.5654	0.019	0.0337
AT4G08250	-1558.372472	0.1083	247.7	772.3	0.1812	0.0172	0.095	0.2065	0.018	0.0871
AT4G08280	-565.833318	0.0914	93.7	281.3	0.5632	0.0255	0.0453	0.5788	0.0253	0.0438
AT4G08290	-874.511105	0.0414	142.5	478.5	0.2564	0.0083	0.0323	0.3006	0.0085	0.0281
AT4G08300	-1518.877489	0.0865	308.3	726.7	0.1571	0.0111	0.0706	0.128	0.0103	0.0801
AT4G08310	-1826.12497	0.0427	294.4	1055.6	0.4898	0.0116	0.0237	0.4748	0.0115	0.0241
AT4G08350	-4087.809246	0.0621	660.4	2168.6	0.3193	0.0138	0.0433	0.3908	0.0147	0.0376
AT4G08455	-971.427444	0.0828	143.7	522.3	0.0534	0.0057	0.1071	0.063	0.0058	0.0925
AT4G08460	-1215.08193	0.0593	192.3	638.7	0.6314	0.0174	0.0276	0.6298	0.0172	0.0274
AT4G08510	-2346.97062	0.0424	401.2	1248.8	0.1681	0.0064	0.0381	0.1797	0.0064	0.0358
AT4G08520	-723.56582	0.024	113.6	417.4	0.2375	0.0047	0.0199	0.3057	0.0049	0.0162
AT4G08530	-419.919051	0.0794	60.7	224.3	0.1889	0.0138	0.0732	0.2771	0.0159	0.0576
AT4G08540	-2040.652058	0.1153	302.6	1032.4	0.1641	0.0178	0.1087	0.1756	0.0179	0.1017
AT4G08550	-2560.987835	0.125	393.9	1313.1	0.0941	0.0129	0.1374	0.1049	0.0137	0.1302
AT4G08555	-254.13008	0.0319	29	166	99	0.0125	0.0001	-1	0.0129	0
AT4G08560	-1650.309755	0.0654	273.4	866.6	0.6707	0.0195	0.0291	0.6141	0.0188	0.0306
AT4G08590	-1266.774453	0.0417	212.6	690.4	0.2095	0.0074	0.0351	0.2068	0.0072	0.0348
AT4G08630	-3177.867259	0.0765	527	1657	0.1176	0.0091	0.0772	0.1282	0.0091	0.0712
AT4G08670	-891.009988	0.085	181.4	451.6	0.0238	0.0022	0.0934	0.0243	0.0022	0.0902
AT4G08685	-397.029415	0.0495	49.7	235.3	0.001	0.0001	0.0942	-1	0	0.0662
AT4G08690	-1403.805429	0.1232	223.3	706.7	0.1464	0.0171	0.1169	0.1351	0.0167	0.1234
AT4G08780	-1652.467089	0.1812	266.8	771.2	0.1936	0.0292	0.1507	0.1901	0.029	0.1526
AT4G08790	-1350.741853	0.0753	225.2	695.8	0.0681	0.0058	0.0848	0.0961	0.0072	0.075
AT4G08810	-2411.170515	0.0839	323.9	1347.1	0.0503	0.006	0.1193	0.06	0.0062	0.1026
AT4G08840	-2402.395945	0.0981	382.3	1222.7	0.3502	0.0227	0.0648	0.338	0.0221	0.0655
AT4G08867	-369.826482	0.7551	52	134	0.3926	0.1757	0.4476	0.3073	0.1624	0.5285
AT4G08870	-1483.328686	0.0566	277.7	754.3	0.0668	0.004	0.0593	0.0631	0.0039	0.0613
AT4G08900	-1467.515084	0.0602	249.5	776.5	0.0551	0.0039	0.0704	0.0592	0.0039	0.0658
AT4G08910	-924.29546	0.0906	119.4	504.6	0.5301	0.0258	0.0487	0.6606	0.0266	0.0403
AT4G08920	-2980.239574	0.0696	474.6	1568.4	0.0928	0.0071	0.0765	0.1078	0.0074	0.0686
AT4G08930	-1271.516264	0.0992	219.9	623.1	0.2455	0.0183	0.0747	0.2366	0.0181	0.0764
AT4G08940	-1744.991685	0.0764	284.4	912.6	0.1324	0.01	0.0753	0.1238	0.0097	0.0787
AT4G08980	-1430.983541	0.1305	258.6	692.4	0.0628	0.0086	0.137	0.0505	0.0081	0.1608
AT4G09000	-1093.28245	0.0283	195.6	602.4	0.1173	0.0033	0.0283	0.1169	0.0033	0.0279
AT4G09010	-1213.192493	0.0403	231.5	626.5	0.0788	0.0032	0.041	0.0683	0.0031	0.045
AT4G09012	-413.203732	0.0797	64.3	214.7	0.1129	0.0095	0.0837	0.1304	0.0097	0.0742
AT4G09020	-3350.137243	0.0705	482	1810	0.2178	0.0134	0.0615	0.2506	0.0136	0.0544
AT4G09040	-1332.490106	0.0978	243.4	656.6	0.1399	0.0122	0.0875	0.1223	0.0117	0.0957
AT4G09060	-1504.557527	0.0917	211.5	814.5	0.1057	0.0111	0.1053	0.1154	0.0112	0.0974
AT4G09080	-1766.756359	0.0758	329.5	858.5	0.6428	0.0219	0.0341	0.56	0.0209	0.0373
AT4G09100	-605.242405	0.107	107.3	291.7	0.1446	0.0138	0.0951	0.1302	0.0133	0.1018
AT4G09130	-1664.536504	0.1247	298.7	766.3	0.3621	0.0278	0.0769	0.2994	0.0263	0.0879
AT4G09140	-3181.249671	0.0798	541.8	1639.2	0.1272	0.0098	0.0773	0.1205	0.0096	0.0796
AT4G09150	-4629.056894	0.1161	741	2298	0.2192	0.0207	0.0945	0.2223	0.0205	0.0924
AT4G09170	-562.397061	0.1007	117.6	254.4	1.3736	0.0367	0.0267	0.9866	0.0329	0.0333
AT4G09190	-1447.482616	0.1077	201.1	761.9	0.5215	0.0301	0.0578	0.581	0.0303	0.0521
AT4G09320	-615.51339	0.0376	103.8	340.2	0.001	0.0001	0.0534	-1	0	0.0516
AT4G09340	-1860.196372	0.0713	273.3	1001.7	0.2494	0.0145	0.0579	0.3244	0.0156	0.048
AT4G09530	-444.269154	0.0992	70.2	223.8	0.1389	0.0133	0.096	0.1352	0.0132	0.0979
AT4G09560	-1382.037355	0.0398	261.4	713.6	0.0307	0.0014	0.0457	0.0285	0.0014	0.0476
AT4G09600	-453.194213	0.1178	82.9	214.1	0.2094	0.0191	0.0913	0.1722	0.018	0.1044
AT4G09610	-419.198636	0.0319	60.5	236.5	0.1207	0.0043	0.0354	0.1634	0.0045	0.0275
AT4G09630	-2751.854855	0.0268	408.8	1583.2	0.0525	0.0019	0.0362	0.0611	0.0019	0.0319
AT4G09640	-1617.98226	0.0422	300.8	842.2	0.0821	0.0036	0.0435	0.0793	0.0035	0.044
AT4G09647	-448.79255	0.4405	50.3	198.7	0.9857	0.1464	0.1485	1.0728	0.1429	0.1332
AT4G09650	-979.586278	0.0412	189.3	509.7	0.0434	0.002	0.0454	0.0391	0.0019	0.0485
AT4G09670	-1242.447755	0.031	204	696	0.3569	0.0073	0.0206	0.383	0.0073	0.0191
AT4G09680	-4306.102043	0.0564	758.1	2214.9	0.4151	0.0138	0.0333	0.3669	0.0132	0.036
AT4G09690	-765.837979	1.0443	97.5	247.5	2.2451	0.4128	0.1839	1.7317	0.3704	0.2139
AT4G09720	-858.472086	0.0424	151.5	466.5	0.001	0.0001	0.0575	-1	0	0.0605
AT4G09730	-2668.235708	0.0482	439.5	1417.5	0.0953	0.0049	0.0519	0.1029	0.005	0.0484
AT4G09750	-1441.886396	0.118	234.3	731.7	0.0731	0.0097	0.1321	0.0747	0.0096	0.128
AT4G09760	-1511.901398	0.1306	275.9	726.1	0.1038	0.0129	0.1242	0.0824	0.0122	0.1484
AT4G09820	-2287.93924	0.0825	365.4	1188.6	0.141	0.0113	0.0802	0.1547	0.0118	0.0763
AT4G09830	-816.531059	0.0452	146.1	423.9	0.1034	0.0047	0.0452	0.102	0.0046	0.0453
AT4G09870	-1397.669976	0.0308	186.1	809.9	0.8566	0.01	0.0116	1.0879	0.0103	0.0095
AT4G09890	-355.704609	0.0482	100.4	160.6	0.2039	0.0064	0.0315	0.0801	0.0048	0.06
AT4G09940	-2115.211029	0.0233	401.7	1161.3	0.7066	0.007	0.0099	0.5727	0.0066	0.0116
AT4G09950	-1436.85505	0.0614	221.3	786.7	0.2245	0.0116	0.0519	0.2277	0.0116	0.0508
AT4G09960	-966.745956	0.0457	207.6	482.4	0.0465	0.0021	0.0457	0.0317	0.0019	0.0593
AT4G09970	-1143.181185	0.2952	157.8	511.2	0.3072	0.0642	0.209	0.3098	0.0637	0.2055
AT4G10000	-1564.952641	0.1328	256.7	742.3	0.4019	0.032	0.0797	0.4059	0.0318	0.0783
AT4G10020	-1368.760964	0.0919	284.6	648.4	0.0525	0.0047	0.0897	0.0372	0.0042	0.1131
AT4G10030	-892.300856	0.1102	173.3	417.7	0.1608	0.0145	0.0903	0.1353	0.0137	0.101
AT4G10040	-471.923354	0.0484	95.1	240.9	0.001	0.0001	0.0568	-1	0	0.0676
